attack,n_poison,poison_rate,retriever,n_attacked_queries,prr@1,prr@3,prr@5,prr@10
lexical,1,1.0,bm25,25,1.0,1.0,1.0,1.0
lexical,1,1.0,dense,25,0.52,0.96,1.0,1.0
lexical,1,1.0,hybrid,25,0.96,1.0,1.0,1.0
lexical,1,1.0,reranker,25,0.96,1.0,1.0,1.0
lexical,3,1.0,bm25,25,1.0,1.0,1.0,1.0
lexical,3,1.0,dense,25,0.6,1.0,1.0,1.0
lexical,3,1.0,hybrid,25,1.0,1.0,1.0,1.0
lexical,3,1.0,reranker,25,1.0,1.0,1.0,1.0
semantic_fluent,1,1.0,bm25,25,0.44,0.84,0.88,0.96
semantic_fluent,1,1.0,dense,25,0.68,0.92,0.96,1.0
semantic_fluent,1,1.0,hybrid,25,0.56,0.92,0.96,0.96
semantic_fluent,1,1.0,reranker,25,0.88,0.96,1.0,1.0
semantic_fluent,3,1.0,bm25,25,0.8,0.92,0.92,0.96
semantic_fluent,3,1.0,dense,25,0.76,0.96,1.0,1.0
semantic_fluent,3,1.0,hybrid,25,0.76,0.92,0.96,1.0
semantic_fluent,3,1.0,reranker,25,0.92,1.0,1.0,1.0
